frequency_Hz,complex_real,complex_imag,coefficient_abs
-5795.757505505969,-1.1748391794975218e-18,-5.135813185032629e-34,1.1748391794975218e-18
-5554.26760944322,-2.4771051734936874e-18,1.189523039849339e-18,2.747911043480411e-18
-5312.777713380471,-2.0896960707656105e-18,-1.0753753317852104e-18,2.3501620736420253e-18
-5071.287817317722,-2.7500625464135954e-18,1.2986143880770947e-19,2.7531269499382036e-18
-4829.797921254974,-3.4951776479231085e-18,-2.1579203448143366e-18,4.1076619876889745e-18
-4588.308025192226,1.2953653339339066e-18,-1.6740471660129673e-18,2.1166967809286593e-18
-4346.818129129477,-1.884506733344539e-18,-1.735603347236526e-18,2.5619688926603965e-18
-4105.328233066728,-3.4977584034347426e-18,-2.280311528443813e-18,4.175420280109791e-18
-3863.838337003979,-2.0070169316415953e-18,-1.3141940757912356e-18,2.3990045920633046e-18
-3622.3484409412304,8.327781805841031e-19,-1.4427690063762015e-18,1.6658637110570422e-18
-3380.8585448784816,-2.7351241196499906e-18,-2.4323338483483982e-18,3.660212002017433e-18
-3139.368648815733,-2.426331168790304e-19,-2.7313542117522696e-19,3.653406461194837e-19
-2897.8787527529844,-2.3619162671148056e-18,-4.417884831235466e-18,5.009626217086656e-18
-2656.3888566902356,-1.20092789115516e-18,-4.361841407972394e-18,4.524145031722235e-18
-2414.898960627487,1.346001860381579e-19,-6.098871487184526e-18,6.1003565983697954e-18
-2173.4090645647384,-3.635655597377135e-18,-3.649930469912436e-18,5.151697201693332e-18
-1931.9191685019896,-1.5419764230904951e-18,-5.2991696604485324e-18,5.518957363450562e-18
-1690.4292724392408,-2.6556247681558623e-18,-7.19706815242849e-19,2.751421597856258e-18
-1448.9393763764922,-7.024690377844989e-18,-4.892983642136112e-18,8.560815605232924e-18
-1207.4494803137436,-5.145755646376936e-18,-7.668255530410986e-18,9.234768218634336e-18
-965.9595842509948,-1.3755097837436958e-18,-6.4820427877403416e-18,6.626379544462511e-18
-724.4696881882461,-8.740936720679861e-18,-1.2650852640206209e-17,1.5376867277802134e-17
-482.9797921254974,6.761861410942481e-19,1.272415023021703e-17,1.2742104487820685e-17
-241.4898960627487,-4.491542257427263e-17,-6.319133248533062e-17,7.752767045576102e-17
0.0,4.79970756457216e-17,0.0,4.79970756457216e-17
241.4898960627487,-4.491542257427262e-17,6.319133248533062e-17,7.752767045576101e-17
482.9797921254974,6.761861410942478e-19,-1.2724150230217031e-17,1.2742104487820687e-17
724.4696881882461,-8.740936720679867e-18,1.2650852640206204e-17,1.5376867277802134e-17
965.9595842509948,-1.3755097837436958e-18,6.4820427877403416e-18,6.626379544462511e-18
1207.4494803137436,-5.145755646376942e-18,7.668255530410989e-18,9.234768218634342e-18
1448.9393763764922,-7.02469037784499e-18,4.8929836421361125e-18,8.560815605232924e-18
1690.4292724392408,-2.6556247681558543e-18,7.197068152428524e-19,2.751421597856251e-18
1931.9191685019896,-1.5419764230904947e-18,5.2991696604485324e-18,5.518957363450562e-18
2173.4090645647384,-3.635655597377134e-18,3.649930469912435e-18,5.151697201693331e-18
2414.898960627487,1.346001860381579e-19,6.098871487184526e-18,6.1003565983697954e-18
2656.3888566902356,-1.2009278911551599e-18,4.361841407972391e-18,4.524145031722232e-18
2897.8787527529844,-2.3619162671148056e-18,4.417884831235466e-18,5.009626217086656e-18
3139.368648815733,-2.4263311687903103e-19,2.7313542117523245e-19,3.6534064611948825e-19
3380.8585448784816,-2.73512411964999e-18,2.4323338483483994e-18,3.6602120020174335e-18
3622.3484409412304,8.327781805841013e-19,1.4427690063762023e-18,1.6658637110570422e-18
3863.838337003979,-2.0070169316415953e-18,1.3141940757912356e-18,2.3990045920633046e-18
4105.328233066728,-3.497758403434747e-18,2.2803115284438166e-18,4.175420280109796e-18
4346.818129129477,-1.8845067333445382e-18,1.7356033472365272e-18,2.561968892660397e-18
4588.308025192226,1.2953653339339066e-18,1.6740471660129678e-18,2.1166967809286597e-18
4829.797921254974,-3.4951776479231085e-18,2.157920344814337e-18,4.1076619876889745e-18
5071.287817317722,-2.7500625464135954e-18,-1.2986143880771151e-19,2.7531269499382036e-18
5312.777713380471,-2.0896960707656097e-18,1.07537533178521e-18,2.3501620736420245e-18
5554.26760944322,-2.4771051734936854e-18,-1.1895230398493356e-18,2.7479110434804083e-18
