frequency_Hz,complex_real,complex_imag,coefficient_abs
-5795.757505505969,1.0798019151371247e-11,-1.0770580892617547e-27,1.0798019151371247e-11
-5554.26760944322,-4.804766172862679e-12,-1.2042483216520862e-11,1.2965615295699319e-11
-5312.777713380471,3.715204822213043e-12,-3.805828951602061e-12,5.318560038191493e-12
-5071.287817317722,-6.316557581887028e-12,1.6589885278114484e-11,1.775170958601718e-11
-4829.797921254974,4.260095273583244e-12,1.7522924837887447e-12,4.606402141449314e-12
-4588.308025192226,-1.3155585829096715e-12,1.9317238816821545e-11,1.936198362490745e-11
-4346.818129129477,-1.020240550039999e-11,-1.5454572317785622e-11,1.8518447114168557e-11
-4105.328233066728,1.5360697476087156e-11,1.273737976016891e-11,1.995474555354267e-11
-3863.838337003979,-9.404481988135801e-13,7.0942591276922374e-12,7.156322755822038e-12
-3622.3484409412304,1.9303600288428404e-11,-6.875561792057507e-12,2.0491518588230945e-11
-3380.8585448784816,-8.683365676842952e-13,2.209138975687965e-12,2.373668765578174e-12
-3139.368648815733,-1.5654747029692984e-12,-2.8008157265530138e-11,2.8051873100673785e-11
-2897.8787527529844,-3.5457567033873447e-13,4.394598010375648e-12,4.4088791748917064e-12
-2656.3888566902356,-8.367703162640714e-12,-1.4144563114761437e-11,1.6434327547105088e-11
-2414.898960627487,9.106944817055279e-12,-5.329529501145357e-13,9.122526116593242e-12
-2173.4090645647384,-2.1958732147576943e-11,1.0851570317578107e-11,2.4493723601902003e-11
-1931.9191685019896,-6.244758347994678e-12,-8.747474519123755e-12,1.0747805231188764e-11
-1690.4292724392408,-1.0001767388074697e-11,1.0306485052183207e-11,1.4361719431044126e-11
-1448.9393763764922,-9.116416270993457e-13,-2.5099570240703185e-13,9.455629534235898e-13
-1207.4494803137436,1.1608061202664699e-11,1.3587167998896588e-11,1.7870596495781806e-11
-965.9595842509948,1.4503561558168299e-12,-4.091104195328315e-12,4.340583660724524e-12
-724.4696881882461,3.542187134728437e-12,7.680593195135376e-12,8.458049510767568e-12
-482.9797921254974,-9.140768718662722e-13,3.1252200380405435e-12,3.256153684003715e-12
-241.4898960627487,7.278866120550893e-12,-5.6343153501241376e-12,9.20474885401813e-12
0.0,1.2785868942817634e-11,0.0,1.2785868942817634e-11
241.4898960627487,7.278866120550896e-12,5.634315350124133e-12,9.20474885401813e-12
482.9797921254974,-9.140768718662722e-13,-3.1252200380405443e-12,3.2561536840037157e-12
724.4696881882461,3.5421871347284314e-12,-7.680593195135371e-12,8.458049510767563e-12
965.9595842509948,1.4503561558168297e-12,4.091104195328315e-12,4.340583660724524e-12
1207.4494803137436,1.1608061202664697e-11,-1.3587167998896583e-11,1.78705964957818e-11
1448.9393763764922,-9.116416270993467e-13,2.509957024070308e-13,9.455629534235904e-13
1690.4292724392408,-1.0001767388074692e-11,-1.0306485052183204e-11,1.436171943104412e-11
1931.9191685019896,-6.244758347994676e-12,8.747474519123755e-12,1.0747805231188764e-11
2173.4090645647384,-2.1958732147576937e-11,-1.0851570317578105e-11,2.4493723601901997e-11
2414.898960627487,9.106944817055279e-12,5.32952950114536e-13,9.122526116593242e-12
2656.3888566902356,-8.36770316264071e-12,1.4144563114761432e-11,1.6434327547105085e-11
2897.8787527529844,-3.5457567033873473e-13,-4.394598010375649e-12,4.408879174891707e-12
3139.368648815733,-1.5654747029692998e-12,2.800815726553014e-11,2.805187310067379e-11
3380.8585448784816,-8.683365676842947e-13,-2.209138975687965e-12,2.3736687655781737e-12
3622.3484409412304,1.9303600288428404e-11,6.8755617920575055e-12,2.0491518588230945e-11
3863.838337003979,-9.404481988135801e-13,-7.0942591276922374e-12,7.156322755822038e-12
4105.328233066728,1.5360697476087156e-11,-1.273737976016891e-11,1.995474555354267e-11
4346.818129129477,-1.0202405500399987e-11,1.5454572317785622e-11,1.8518447114168553e-11
4588.308025192226,-1.3155585829096724e-12,-1.9317238816821545e-11,1.936198362490745e-11
4829.797921254974,4.260095273583245e-12,-1.7522924837887447e-12,4.606402141449315e-12
5071.287817317722,-6.316557581887031e-12,-1.6589885278114487e-11,1.7751709586017182e-11
5312.777713380471,3.715204822213044e-12,3.805828951602062e-12,5.318560038191494e-12
5554.26760944322,-4.8047661728626765e-12,1.2042483216520868e-11,1.2965615295699324e-11
